epoch,generation,walltime_sec,pure_train_chi2,test_chi2,blip_train_chi2,test1_frac,test2_frac,test3_frac,test4_frac,test5_frac,test6_frac,test7_frac,test8_frac,train1_frac,train2_frac,train3_frac,s1_blip_match_frac,s2_blip_match_frac,s3_blip_match_frac,other_frac,other_chi2,other_n_classes,l1_loss,l2_loss,regularization_loss,v,seed,zero_init,l1_scale,l2_scale,blip_freq,num_epoch,schedule_mode,replicate_uid
0,0,12.32288908958435,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05431200000000002,1876,0.0,0.0,0.0,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
1,100,12.338657855987549,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05431200000000002,1876,1.7040121537041606e-05,4.472483889572082e-10,3.7301675816523097e-06,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
2,200,12.351484775543213,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05355799999999998,1878,2.0899997997681197e-05,6.900667803896082e-10,4.575140674380688e-06,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
3,300,12.364204406738281,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05355799999999998,1878,2.31034050638558e-05,8.40092109020925e-10,5.057494985978749e-06,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
4,400,12.37685489654541,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053557999999999974,1878,2.8717526935471043e-05,1.2968628368827966e-09,6.286513050113619e-06,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
5,500,12.391532182693481,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053935500000000025,1877,3.44222410464906e-05,1.8139892804726127e-09,7.5353732230400814e-06,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
6,600,12.404311418533325,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053179500000000005,1879,3.6611473569789346e-05,2.0921584055772465e-09,8.01464907452395e-06,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
7,700,12.417174100875854,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053557999999999974,1878,4.0348118389398966e-05,2.5009132775051256e-09,8.83267828896216e-06,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
8,800,12.429834365844727,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053557999999999974,1878,4.16680622210083e-05,2.675485576600415e-09,9.121647162438272e-06,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
9,900,12.442608118057251,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053557999999999974,1878,4.428520885426774e-05,3.077961133745907e-09,9.69461703081462e-06,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
10,1000,12.4551100730896,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053557999999999974,1878,4.825926115022705e-05,3.7075914549991062e-09,1.056465670816115e-05,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
11,1100,12.46782374382019,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053179500000000005,1879,5.163632475091533e-05,4.1567998619110885e-09,1.130398127994913e-05,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
12,1200,12.480345010757446,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053179500000000005,1879,5.23690242843917e-05,4.224417404646936e-09,1.1464382055160226e-05,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
13,1300,12.49288272857666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.053179500000000005,1879,5.25727101736621e-05,4.324503485029851e-09,1.150898791267679e-05,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
14,1400,12.505611896514893,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05317950000000001,1879,5.471854868789108e-05,4.85866423992795e-09,1.1978813453984945e-05,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
15,1500,12.518348217010498,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05317950000000001,1879,5.512361480832215e-05,4.924712817100294e-09,1.2067494976976969e-05,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
16,1600,12.530847072601318,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05317950000000001,1879,5.590356883621892e-05,4.9953247588690664e-09,1.2238240329952508e-05,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
17,1700,12.5432767868042,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05317950000000001,1879,5.88532335077799e-05,5.46292668657537e-09,1.288401077092347e-05,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
18,1800,12.555838108062744,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05317950000000001,1879,6.02347218179696e-05,5.65630715345715e-09,1.3186455304312704e-05,16,20,False,0.995,0.005,0.66,100,none,5af9953a-8fd0-46bb-8f5f-70633240188b
